Config,Sequence,Precision,Recall,F1-score,AP@0.5,Success(AUC),FPS,CDR (%)
Only YOLO,phantom29,0.9973,0.4392,0.6098,0.4352,0.3342,678.11,41.16
Only YOLO,phantom30,0.9959,0.966,0.9807,0.96,0.7713,293.17,96.6
Only YOLO,phantom32,0.993,0.95,0.971,0.9406,0.707,291.46,95.0
Only YOLO,phantom36,0.908,0.7976,0.8493,0.8015,0.5761,296.72,79.76
Only YOLO,phantom38,0.0,0.0,0.0,0.0,0.0,31527.96,0.0
Only YOLO,phantom39,0.8462,0.1223,0.2137,0.1287,0.0877,1455.5,12.23
Only YOLO,phantom40,0.9985,0.9985,0.9985,0.9899,0.8069,291.09,99.85
Only YOLO,phantom41,0.0,0.0,0.0,0.0,0.0,19420.95,0.0
Only YOLO,phantom42,0.9823,0.9783,0.9803,0.9697,0.6898,287.06,96.53
Only YOLO,phantom43,0.0,0.0,0.0,0.0,0.0,19110.45,0.0
Only YOLO,phantom44,0.9227,0.8657,0.8933,0.8609,0.658,294.95,86.57
Only YOLO,phantom45,0.9325,0.8391,0.8833,0.8413,0.6,296.07,83.91
Only YOLO,phantom46,0.0,0.0,0.0,0.0,0.0,19261.8,0.0
Only YOLO,phantom47,0.0,0.0,0.0,0.0,0.0,29676.54,0.0
Only YOLO,phantom49,0.0,0.0,0.0,0.0,0.0,24083.65,0.0
Only YOLO,phantom50,0.9128,0.0885,0.1613,0.089,0.0658,2110.38,8.73
Only YOLO,phantom51,0.9416,0.6892,0.7959,0.6925,0.5014,396.08,66.35
Only YOLO,phantom54,0.8026,0.104,0.1841,0.1089,0.0804,1934.75,10.4
Only YOLO,phantom55,0.9247,0.6323,0.751,0.6335,0.4745,401.28,63.23
Only YOLO,phantom56,0.9029,0.3947,0.5493,0.3957,0.2883,627.04,39.47
Only YOLO,phantom57,0.9572,0.9338,0.9454,0.9305,0.6705,293.55,93.38
Only YOLO,phantom58,0.0,0.0,0.0,0.0,0.0,22980.53,0.0
Only YOLO,phantom59,0.9505,0.448,0.609,0.4554,0.3054,586.24,44.8
Only YOLO,phantom60,0.9882,0.1486,0.2583,0.1485,0.1074,1805.24,14.86
Only YOLO,phantom61,0.7637,0.2175,0.3385,0.2175,0.1597,667.75,21.75
Only YOLO,phantom63,0.0,0.0,0.0,0.0,0.0,19065.99,0.0
Only YOLO,phantom64,0.8091,0.0495,0.0933,0.0491,0.0371,3473.11,4.95
Only YOLO,phantom65,0.0,0.0,0.0,0.0,0.0,20919.85,0.0
Only YOLO,phantom66,0.8617,0.1951,0.3181,0.1979,0.1371,1166.1,19.51
Only YOLO,phantom68,0.9091,0.0121,0.024,0.0198,0.0081,6276.6,1.21
Only YOLO,phantom70,0.0,0.0,0.0,0.0,0.0,14800.01,0.0
Only YOLO,phantom71,0.9368,0.3958,0.5565,0.3957,0.297,622.16,39.58
Only YOLO,phantom73,0.8836,0.1713,0.2869,0.1782,0.1204,1269.48,16.89
Only YOLO,phantom74,0.0,0.0,0.0,0.0,0.0,16130.31,0.0
Only YOLO,phantom75,0.9003,0.3465,0.5004,0.3464,0.2487,675.96,34.65
Only YOLO,phantom76,0.7322,0.1284,0.2184,0.1281,0.106,1409.95,12.77
Only YOLO,phantom77,0.8935,0.6674,0.7641,0.6634,0.4949,343.1,66.74
Only YOLO,phantom78,0.0,0.0,0.0,0.0,0.0,22837.04,0.0
Only YOLO,phantom79,0.4444,0.0069,0.0136,0.0099,0.008,7068.48,0.69
Only YOLO,phantom80,0.9738,0.9635,0.9686,0.9602,0.7464,292.47,96.35
Only YOLO,phantom81,0.9965,0.9965,0.9965,0.9899,0.7697,293.4,99.65
Only YOLO,phantom84,0.67,0.0372,0.0706,0.0495,0.0323,2823.41,3.72
Only YOLO,phantom85,1.0,0.5634,0.7208,0.5637,0.4167,526.88,52.96
Only YOLO,phantom86,0.0,0.0,0.0,0.0,0.0,18298.05,0.0
Only MOD,phantom02,0.6421,0.363,0.4638,0.3663,0.2801,24.07,36.3
Only MOD,phantom04,0.0523,0.0193,0.0283,0.0297,0.1009,23.83,1.93
Only MOD,phantom05,0.3942,0.1212,0.1854,0.1287,0.1141,23.09,12.12
Only MOD,phantom06,0.8303,0.2557,0.391,0.2574,0.1808,26.77,25.57
Only MOD,phantom08,0.6074,0.254,0.3582,0.2574,0.1983,23.39,24.12
Only MOD,phantom09,0.6397,0.3447,0.448,0.3465,0.2801,26.49,34.24
Only MOD,phantom10,0.2495,0.1479,0.1858,0.1584,0.262,25.47,14.79
Only MOD,phantom12,0.8331,0.3116,0.4535,0.3168,0.2101,27.27,30.26
Only MOD,phantom13,0.9537,0.6348,0.7622,0.6337,0.4112,25.63,59.53
Only MOD,phantom14,0.8833,0.3365,0.4874,0.3366,0.2302,25.97,33.65
Only MOD,phantom16,0.9851,0.3913,0.5601,0.396,0.27,26.59,36.63
Only MOD,phantom19,0.2206,0.0417,0.0701,0.0495,0.0769,27.64,4.17
Only MOD,phantom20,0.7241,0.0117,0.023,0.0198,0.009,28.55,1.17
Only MOD,phantom22,0.3734,0.0682,0.1153,0.0792,0.0776,27.38,6.82
Only MOD,phantom23,0.8762,0.4025,0.5516,0.4059,0.281,25.69,39.47
Only MOD,phantom28,0.7312,0.1624,0.2658,0.1683,0.1178,26.67,16.24
Only MOD,phantom29,0.8378,0.2053,0.3298,0.2079,0.1356,27.8,19.24
